id,source_id,authors,title,year,journal,volume_city,issue_state,start_page,end_page,created_at,updated_at
1,D3318,"D.A. Kline","Quantitative determination of sugars in fruits by GLC separation of TMS derivatives",1970,"Journal of AOAC International",53,6,1198,1202,"2014-05-13 11:52:36","2014-05-13 11:52:36"
2,D3326,"C. Martin-Villa","High performance liquid chromatographic determination of carbohydrates in raw and cooked vegetables",1982,"Journal of Food Science",47,,2086,,"2014-05-13 11:52:36","2014-05-13 11:52:36"
3,D3339,"K.W. Swallow, N.H. Low","Analysis And Quantitation Of The Carbohydrates In Honey Using High-Performance Liquid Chromatography.",1990,"Journal of Agricultural and Food Chemistry",38,9,1828,1832,"2014-05-13 11:52:37","2014-05-13 11:52:37"
4,D3357,"V.C. Morris, O.A. Levander","Selenium content of food",1970,"Journal of Nutrition",100,12,1383,1388,"2014-05-13 11:52:37","2014-05-13 11:52:37"
5,D3904,"F Khachik, G R Beecher, W R Lusby","Separation, identification and quantification of the major carotenoids in extracts of apricots, peaches, cantaloupe, and pink grapefruit by liquid chromatography",1989,"J Agric Food Chem",37,,1465,1473,"2014-05-13 11:52:37","2014-05-13 11:52:37"
6,D3907,"C Y Lee, P E McCoon, J H LeBowitz","Vitamin A value of sweet corn",1981,"J Agric Food Chem",29,,1294,1295,"2014-05-13 11:52:37","2014-05-13 11:52:37"
7,D3920,"M. Heinonen, V. Olliloinen, E. Perttivaro, P. Koivistoinen","Carotenoids and retinoids in Finnish Foods: Dietary Fats",1988,"J. Food Composition and Analysis",1,,334,340,"2014-05-13 11:52:37","2014-05-13 11:52:37"
8,D3852,"J Q Wu, D E Carrol","Chemical and physical sensory stabilities of prebaked frozen sweet potatoes.",1991,"J. Food Sci.",56,1,710,713,"2014-05-13 11:52:37","2014-05-13 11:52:37"
9,D3860,"LIgia Almeida-Muradian, Fausto Fiorini, Marilene Penteado","Provitamin A Evaluation of External and Internal Leaves of Cabbage (Brassica oleracea L. var. capitata)",1995,"Ciencia e Tecnologia de Alimentos",15,2,108,111,"2014-05-13 11:52:37","2014-05-13 11:52:37"
10,D3891,"L A Chandler, S J Schwartz","Isomerization and losses of trans-beta-carotene in sweet potatoes as affected by processing treatments",1988,"J Agric Food Chem",36,,129,133,"2014-05-13 11:52:37","2014-05-13 11:52:37"
11,D4043,"E. Jakob, I. Elmadfa","Application of a Simplified HPLC Assay for the Determination of Phylloquinone (Vitamin K) in Animal and Plant Food Items",1996,"Food Chemistry",56,1,87,91,"2014-05-13 11:52:37","2014-05-13 11:52:37"
12,D4052,"T.J. Koivu, V. I. Piironen, S.K. Henttonen, P.H. Mattila","Determination of Phylloquinone in Vegetables, Fruits, and Berries by High-Performance Liquid Chromatography with Electrochemical Detection",1997,"American Chemical Society",,,,,"2014-05-13 11:52:37","2014-05-13 11:52:37"
13,D4069,"S.L. Booth, H.T. Madabushi, KW Davidson, J.A. Sadowski","Tea and Coffee Brews are not Dietary Sources of Vitamin K-1 (Phylloquinone)",1995,"Journal of the American Dietetic Assoc.",95,1,82,83,"2014-05-13 11:52:37","2014-05-13 11:52:37"
14,D4142,"W. R. Mindak, S. P. Dolan","Determination of arsenic and selenium in food using a microwave digestion-dry ash preparation and flow injection hydride generation atomic absorption spectrometry",1999,"Journal of Food Composition and Analysis",12,,111,122,"2014-05-13 11:52:37","2014-05-13 11:52:37"
15,D3309,"M. Horbowicz","Adaptation of the method of sugars determination by gas chromatography (GC) and characteristics of  their occurrence",1980,"Acta Alimentaria Polonica",6,4,227,236,"2014-05-13 11:52:37","2014-05-13 11:52:37"
16,D1417,"O. Longe","Effect of boiling on the carbohydrate constituents of some non-leafy vegetables",1981,"Food Chemistry",7,1,1,6,"2014-05-13 11:52:37","2014-05-13 11:52:37"
17,D5004,"Judy Heilman, Mary Kiritsy, Steven Levy, James Wefel","Assessing Fluoride Levels of Carbonated Soft Drinks",1999,JADA,130,,1593,1599,"2014-05-13 11:52:37","2014-05-13 11:52:37"
18,D5981,"J. W. DeVries, P.M. Keagy, C.A. Hudson, J.I. Rader","AACC collaborative study of a method for determining total folate in cereal products -- microbiological assay using trienzyme extraction (AACC method 86-47)",2001,"Cereal Foods World",46,5,216,219,"2014-05-13 11:52:38","2014-05-13 11:52:38"
19,D4341,"Ira Shannon","Fluoride in Carbonated Soft Drinks",1977,"Texas Dental Journal",95,,6,9,"2014-05-13 11:52:38","2014-05-13 11:52:38"
20,D4722,"H.G. Daood","Antioxidant vitamin content of spice red pepper (paprika) as affected by technological and varietal factors",1996,"Food Chemistry",55,4,365,372,"2014-05-13 11:52:38","2014-05-13 11:52:38"
21,D4801,"P. Perkins-Veazie, J.K. Collins, S.D. Pair, W. Roberts","Lycopene content differs among red-fleshed watermelon cultivars",2001,"Journal of the Science of Food and Agriculture",81,,983,987,"2014-05-13 11:52:38","2014-05-13 11:52:38"
22,D7282,"R. Abdulah, K. Miyazaki, M. Nakazawa, H. Koyama","Low contribution of rice and vegetables to the daily intake of selenium in Japan",2005,"International Journal of Food Science and Nutrition",56,7,463,471,"2014-05-13 11:52:38","2014-05-13 11:52:38"
23,D6343,"S. Ahrens, M. Venkatachalam, A.M. Mistry, K. Lapsley, S.K. Sathe","Almond (Prunus ducis L.) protein quality",2005,"Plant Foods for Human Nutrition",60,,123,128,"2014-05-13 11:52:38","2014-05-13 11:52:38"
24,D1073,"J.P. McBride, R.A. Maclead","Sodium and potassium in fish from the Canadian Pacific coast.",1956,"Journal of the American Dietetic Association",32,,636,638,"2014-05-13 11:52:38","2014-05-13 11:52:38"
25,D964,"E.H. Jr. Gruger, R.W. Nelson, M.E. Stansby","Fatty acid composition of oils from 21 species of marine fish, freshwater fish and shellfish.",1964,"American Oil Chemists' Society, Journal",41,10,662,667,"2014-05-13 11:52:38","2014-05-13 11:52:38"
26,D3296,"C.E. Damon, B.C. Pettitt","Sugars and Sugar Products: High Performance Liquid Chomatographic Determination of Fructose, Glucose and Sucrose in Molasses",1980,"J. AOAC",63,3,476,480,"2014-05-13 11:52:38","2014-05-13 11:52:38"
27,D3315,"W.J. Hurst, R.A. Martin, B.L. Zoumas","Application of HPLC to Characterization of Individual Carbohydrates in Foods",1979,"Journal of Food Science",44,,892,893,"2014-05-13 11:52:38","2014-05-13 11:52:38"
28,D3344,"R.B. H. Wills","Nutrient composition of stone fruit (Prunus spp.) cultivars: apricot, cherry, nectarine, peach and plum",1983,"J Sci Food Agric",34,,1383,1389,"2014-05-13 11:52:38","2014-05-13 11:52:38"
29,D3359,"O.E. Olson, I.S. Palmer","Selenium in foods purchased or produced in South Dakota",1984,"Journal of Food Science",49,,,,"2014-05-13 11:52:39","2014-05-13 11:52:39"
30,D3364,"J.T. Snook, D. Kinsey, D.L. Palmquist, J.P. DeLaney, V.M. Vivian, A.L. Moxon","Selenium content of foods purchased or produced in Ohio",1987,"Journal of the American Dietetic Association",87,6,744,749,"2014-05-13 11:52:39","2014-05-13 11:52:39"
31,D3924,"D.J. Hart, K.J. Scott","Development and evaluation of an HPLC method for the analysis of carotenoids in foods, and the measurement of the carotenoid content of vegetables and fruits commonly consumed in the UK",1995,"Food Chemistry",54,,101,111,"2014-05-13 11:52:39","2014-05-13 11:52:39"
32,D3846,"J P Sweeney, A C Marsh","Effect of processing on provitamin A in vegetables",1971,"J Am Diet Assoc",59,,238,243,"2014-05-13 11:52:39","2014-05-13 11:52:39"
33,D3848,"I R Stewart","High performance liquid chromatographic determination of provitamin A in orange juice",1977,"J AOAC",60,,132,136,"2014-05-13 11:52:39","2014-05-13 11:52:39"
34,D3886,"A A Bushway, D V Setteze, D F McGann, R H True, T M Work, R J Bushway","Effect of processing method and storage time on the nutrient composition of fiddlehead greens",1985,"J Food Sci",50,,1491,1492,"2014-05-13 11:52:39","2014-05-13 11:52:39"
35,D3890,"E D Brown, M S Micozzi, N E Craft, J G Bieri, G Beecher, B K Edwards, A Rose, P R Taylor, J C Smith, Jr.","Plasma carotenoids in normal men after a single ingestion of vegetables or purified beta-carotene",1989,"Am J Clin Nutr",49,,1258,1265,"2014-05-13 11:52:39","2014-05-13 11:52:39"
36,D3903,"F Khachik, G R Beecher","Separation and identification of carotenoids and carotenol fatty acid esters in some squash products by liquid chromatography 1. Quantification of carotenoids and related esters by HPLC",1988,"J Agr Food Chem",36,,929,937,"2014-05-13 11:52:39","2014-05-13 11:52:39"
37,D3969,"E-Siong Tee, Chin-Lam Lim","Carotenoid composition and content of Malaysian vegetables and fruits by the AOAC and HPLC methods.",1991,"Food Chemistry",41,,309,339,"2014-05-13 11:52:39","2014-05-13 11:52:39"
38,D4051,"G. Ferland, J.A. Sadowski","Vitamin K (Phylloquinie) Content of Edible Oils:  Effects of Heating and Light Exposure",1992,"Journal of Agricultural and Food Chemistry",40,10,1869,1873,"2014-05-13 11:52:39","2014-05-13 11:52:39"
39,D4066,"V. I. Piironen, T.J. Koivu","Quality of Vitamin K Analysis and Food Composition Data in Finland",1998,"Food Chemistry",68,,223,226,"2014-05-13 11:52:40","2014-05-13 11:52:40"
40,D4074,"T.J. Koivu, V. I. Piironen, A.-M. Lampi, P.H. Mattila","Dihydrovitamin K in oils and margarines",1999,"Food Chemistry",64,,411,414,"2014-05-13 11:52:40","2014-05-13 11:52:40"
41,D4941,"S.D. Senter, G.W.Jr. Chapman, W.R. Jr Forbus, J.A. Payne","Sugar and nonvolatile acid composition of persimmons during maturation",1991,"Journal of Food Science",56,4,989,991,"2014-05-13 11:52:40","2014-05-13 11:52:40"
42,D5007,"Robert Ophaug","Fluoride, Unpublished - Ophaug",NULL,Microdiffision,,,,,"2014-05-13 11:52:40","2014-05-13 11:52:40"
43,D4381,"S.W. Leonard, K. Hardin, J.E. Leklem","Vitamin B-6 Content of Spices",2001,"Journal of Food Composition and Analysis",14,,163,167,"2014-05-13 11:52:40","2014-05-13 11:52:40"
44,D3335,"D.H. Picha","HPLC Determination Of Sugars In Raw And Baked Sweet Potatoes",1985,"Journal Of Food Science",50,,1189,1190,"2014-05-13 11:52:40","2014-05-13 11:52:40"
45,D7521,"B Li, K.W. Andrews, P.R. Pehrsson","Individual sugars, soluble and insoluble dietary fiber contents of 70 high consumption foods",2002,"J Food Comp Anal",15,,715,723,"2014-05-13 11:52:40","2014-05-13 11:52:40"
46,D7121,"J. L. Montgomery, J. R. Blanton, Jr., R. L. Horst, M. L. Galyean, K. J. Morrow, Jr., D. B. Wester, M.F. Miller","Effects of biological type of beef steers on vitamin D, calcium, and phosphorus status.",2004,"J. Animal Sci.",82,,2043,2049,"2014-05-13 11:52:40","2014-05-13 11:52:40"
47,D672,"L. A. Koehler","Food and Drug Bulletin (beverages gen)",1963,"Food and Drug Bulletin No. 134, North Dakota State Lab. 1963",134,,134,,"2014-05-13 11:52:40","2014-05-13 11:52:40"
48,D3342,"J.W. White, R MeLoy, J Probst, W Huser","Sugars Containing Galactose Occur In Honey",1986,"Journal Of Agricultural Research (J Apic Res. V.25 (3)",25,3,182,185,"2014-05-13 11:52:40","2014-05-13 11:52:40"
49,D3764,"J Marlett","Content and composition of dietary fiber in 117 frequently consumed foods",1992,"Journal of the American Dietetic Association",92,2,,,"2014-05-13 11:52:40","2014-05-13 11:52:40"
50,D3765,"N Vollendorf, J Marlett","Comparison of Two Methods of Fiber Analysis of 58 Foods",1993,"Journal of Food Composition and Analysis",6,,203,214,"2014-05-13 11:52:40","2014-05-13 11:52:40"
51,D3771,"L Prosky","Total Dietary Fiber in Cereals -- Problems and Determination",1986,"AACC Symposium",,,,,"2014-05-13 11:52:40","2014-05-13 11:52:40"
52,D3773,"R. Mongeau, R. Brassard","A Comparison of Three Methods for Analyzing Dietary Fiber in 38 Foods",1989,"Journal of Food Composition and Analysis",2,,189,199,"2014-05-13 11:52:40","2014-05-13 11:52:40"
53,D3776,"C. Lintas, M. Capelloni","Content and composition of dietary fibre in raw and cooked vegetables",1988,"Food Sciences and Nutrition",42F,,117,124,"2014-05-13 11:52:41","2014-05-13 11:52:41"
54,D3777,"J Marlett, N Vollendorf","Dietary fiber content and composition of vegetables determined by two methods of analysis",1993,"Journal of Agriculture and Food Chemistry",41,,1608,1612,"2014-05-13 11:52:41","2014-05-13 11:52:41"
55,D3779,"N Vollendorf, J Marlett","Dietary Fiber Content and Composition in Home-Prepared and Commercially Baked Products: Analysis and Prediction",1994,"Cereal Chemistry",71,1,99,105,"2014-05-13 11:52:41","2014-05-13 11:52:41"
56,D3780,"J Marlett, N Vollendorf","Dietary fiber content and composition of different forms of fruits",1994,"Food Chemistry",51,,39,44,"2014-05-13 11:52:41","2014-05-13 11:52:41"
57,D3933,"C. Y. Lee, R.W. Robinson","Influence of the crimson gene (ogc) on vitamin A content of tomato",1980,"Horticultural Science",15,,260,261,"2014-05-13 11:52:41","2014-05-13 11:52:41"
58,D3956,"D.M. R. Ramos, D B Rodriguez","Determination of the vitamin A value of common Brazilian leafy vegetables.",1987,"J. Micronutrient Analysis",3,,147,155,"2014-05-13 11:52:41","2014-05-13 11:52:41"
59,D3845,"R L Rouseff, G D Sadler, T J Putman, J E Davis","Determination of beta-carotene and other hydrocarbon carotenoids in red grapefruit cultivars.",1992,"J. Agric. Food Chem.",40,,47,51,"2014-05-13 11:52:41","2014-05-13 11:52:41"
60,D3870,"B.H. Chen, J.R. Chuang, J.H. Lin, P. Chiu","Quantification of provitamin A compounds in Chinese vegetables by high-performance liquid chromatography",1993,"J. Food Protection",56,,51,54,"2014-05-13 11:52:41","2014-05-13 11:52:41"
61,D3888,"R J Bushway","Determination of alpha- and beta-carotene in some raw fruits and vegetables by high-performance liquid chromatography",1986,"J Agr Food Chem",34,,409,412,"2014-05-13 11:52:41","2014-05-13 11:52:41"
62,D3894,"G K Gregory, T-S Chen, T R Philip","Quantitative analysis of carotenoids and carotenoid esters in fruits by HPLC: red bell peppers",1987,"J Food Sci",52,,1071,1073,"2014-05-13 11:52:41","2014-05-13 11:52:41"
63,D3899,"A Homnava, W Rogers, R R Eitenmiller","Provitamin A activity of specialty fruit marketed in the United States.",1990,"J. Food Composition and Analysis",3,,119,133,"2014-05-13 11:52:41","2014-05-13 11:52:41"
64,D3900,"L R Howard, T Dewi","Minimal processing and edible coating effects on composition and sensory quality of mini-peeled carrots.",1996,"J. Food Science",61,3,643,651,"2014-05-13 11:52:41","2014-05-13 11:52:41"
65,D4901,"J.I. Rader, C. M. Weaver, G. Angyal","Total folate in enriched cereal grain products in the United States following fortification",2000,"Food Chemistry",70,,275,289,"2014-05-13 11:52:41","2014-05-13 11:52:41"
66,D3305,"K.C. Gross","Fruits and vegetables are a source of galactose: Implications in planning the diets of patients with galactosaemia",1991,"J. Inher. Metab. Dis.",14,,253,258,"2014-05-13 11:52:41","2014-05-13 11:52:41"
67,D5005,"Mary Kiritsy, Steven Levy, John Warren, Nupur Guha-Chowdhury, Judy Heilman, Teresa Marshall","Assessing Fluoride Concentrations of Juices and Juice-Flavored Drinks",1996,JADA,127,,895,902,"2014-05-13 11:52:41","2014-05-13 11:52:41"
68,D4721,"M.I. Minguez-Mosquera, D. Hornero-Mendez","Comparative study of the effect of paprika processing on the carotenoids in peppers (Capsicum annuum) of the Bola and Agridulce varieties",1994,"Journal of Agricultural and Food Chemistry",42,,1555,1560,"2014-05-13 11:52:42","2014-05-13 11:52:42"
69,D4743,"J.K. Daun, R. Przybylski","Environmental effects on the composition of four Canadian flax cultivars",2000,"Proceedings of the 58th Meeting of the Flax Institute of the United States",,,80,91,"2014-05-13 11:52:42","2014-05-13 11:52:42"
70,D7301,"E.C. Pappa, A.C. Pappas, P.F. Surai","Selenium content in selected foods from the Greek market and estimation of the daily intake",2006,"Science of the Total Environment",372,,100,108,"2014-05-13 11:52:42","2014-05-13 11:52:42"
71,D7481,"A. Perry, H. Rasmussen, E.J. Johnson","Xanthophyll (lutein, zeaxanthin) content in fruits, vegetables and corn and egg products",2009,"J Food Comp Anal",22,,9,15,"2014-05-13 11:52:42","2014-05-13 11:52:42"
72,D7261,"P.P. Sirichakwal, P. Puwastien, J. Polngam, R. Kongkachuichai","Selenium content of Thai foods",2005,"J Food Comp Anal",18,,47,59,"2014-05-13 11:52:42","2014-05-13 11:52:42"
73,D389,"K. Hoppner, B. Lampi, D.E. Perrin","The free & Total folate activity in foods available on the Canadian market.",1972,"Canadian Institute of Food Technology Journal",5,2,60,,"2014-05-13 11:52:42","2014-05-13 11:52:42"
74,D390,"A.V. Lentoc, L.B. Dimannahan, O.N. Gonzalez","Vitamin B6 Content of Some Phillipine Foods. Raw Foods",1971,"Philippine Journal of Nutrition",24,,209,,"2014-05-13 11:52:42","2014-05-13 11:52:42"
75,D1066,"G.V. Mann","The Health and Nutritional status of Alaskan Eskimos.",1962,"American Journal of Clinical Nutrition",11,,31,76,"2014-05-13 11:52:42","2014-05-13 11:52:42"
76,D3306,"K. Haila","Sugar and organic acid content of vegetables consumed in Finland during 1988-1989",1992,"Journal of Food Composition and Analysis",5,,100,107,"2014-05-13 11:52:42","2014-05-13 11:52:42"
77,D3316,"J.L. Iverson, M.P. Bueno","Evaluation of high pressure liquid chromatography and gas liquid chromatography for quantitative determination of sugars in foods",1981,"Journal of the Association of Official Analytical Chemists",64,1,139,143,"2014-05-13 11:52:42","2014-05-13 11:52:42"
78,D3337," SMITH","Quantitative Determination of Sugars in Various Food Products",1986,"Journal of Food Science",51,5,,,"2014-05-13 11:52:42","2014-05-13 11:52:42"
79,D3338,"P. Sporns","Alberta honey composition",1992,"Food Research International",25,,93,100,"2014-05-13 11:52:42","2014-05-13 11:52:42"
80,D3352,"S.N. Ganapathy, R Dhanda","Selenium content of omnivorous and vegetarian diets",1980,"The Ind. J. Nutr. Dietet.",17,,53,59,"2014-05-13 11:52:42","2014-05-13 11:52:42"
81,D3358,"A.L. Moxon, D.L. Palmquist","Selenium content of foods grown or sold in Ohio",1980,"Ohio Report",65,1,,,"2014-05-13 11:52:43","2014-05-13 11:52:43"
82,D3912,"T Philip, T S Chen","Development of a method for the quantitative estimation of provitamin A carotenoids in some fruits.",1988,"J. Food Science",53,,1703,1707,"2014-05-13 11:52:43","2014-05-13 11:52:43"
83,D3921,"I.M. Heinonen, V. Ollilainen, E. Linkola, P. Varo, P. Koivistoinen","Carotenoids and Retinoids in Finnish Foods:  Cereal and Bakery Products",1989,"Cereal Chemistry",66,4,270,273,"2014-05-13 11:52:43","2014-05-13 11:52:43"
84,D3844,"D B Rodriguez, L C Raymundo, K L Simpson, C O Chichester","Carotenoid pigment changes in ripening Momordica charantia fruits",1976,"Ann Bot (London)",40,,615,624,"2014-05-13 11:52:43","2014-05-13 11:52:43"
85,D3850,"P W Simon, X Y Wolff","Carotenes in typical and dark orange carrots",1987,"J Agric Food Chem",35,,1017,1022,"2014-05-13 11:52:43","2014-05-13 11:52:43"
86,D3885,"R J Bushway, A M Wilson","Determination of alpha- and beta-carotene in fruit and vegetables by high performance liquid chromatography",1982,"Can Inst Food Sci Technol",15,,165,169,"2014-05-13 11:52:43","2014-05-13 11:52:43"
87,D4002,"S.L. Booth, J.A. Sadowski, J.A. T. Pennington","Phylloquinone (Vitamin K) Content of Foods in the U.S. Food and Drug Administration's Total Diet Study",1995,"Journal of Agricultural and Food Chemistry",43,6,1574,1579,"2014-05-13 11:52:43","2014-05-13 11:52:43"
88,D4041,"S.L. Booth, KW Davidson, J.A. Sadowski","Evaluation of an HPLC Method for the Determination of Phylloquinone (Vitamin K) in Various Food Matrices",1994,"Journal of Agricultural and Food Chemistry",42,2,295,300,"2014-05-13 11:52:43","2014-05-13 11:52:43"
89,D4071,"V. I. Piironen, T.J. Koivu, O. Tammisalo, P.H. Mattila","Determination of phylloquinone in oils, margarines and butter by HPLC with electrochemical detection",1997,"Food Chemistry",59,3,473,480,"2014-05-13 11:52:43","2014-05-13 11:52:43"
90,D4072,"C. Bolton-Smith, R.J.G. Price, Steven T. Fenton, Dominic J. Harrington, M.J. Shearer","Compilation of a provisional UK database for the phylloquinone (vitamin K) content of foods",2000,"British Journal of Nutrition",83,,389,399,"2014-05-13 11:52:43","2014-05-13 11:52:43"
91,D4078,"S.L. Booth, J.A. T. Pennington, J.A. Sadowski","Dihydro-vitamin K: primary food sources and estimated dietary intakes in the American diet",1996,Lipids,31,7,714,719,"2014-05-13 11:52:43","2014-05-13 11:52:43"
92,D4863,"V.C. Wilberg, D.B. Rodriguez-Amaya","HPLC quantitation of major carotenoids of fresh and processed guava, mango and papaya",1995,"Lebensmittel-Wissenschaft und-Technologie",28,5,474,480,"2014-05-13 11:52:43","2014-05-13 11:52:43"
93,D3302,"M.C. Gancedo, B.S. Luh","HPLC Analysis of Organic Acids and Sugars in Tomato Juice",1986,"Journal of Food Science",51,3,571,573,"2014-05-13 11:52:43","2014-05-13 11:52:43"
94,D4981,"Earle Schulz, Joel Epstein, Donald Forrester","Fluoride Content of Popular Carbonated Beverages",1976,"Journal of Preventive Dentistry",3,,27,29,"2014-05-13 11:52:43","2014-05-13 11:52:43"
95,D5003,"Stephen Adair, Dennis Leverett, Carol Shields","Fluoride Content of School Lunches from Optimally Fluoridated and a Fluoride-Deficient Community",1991,"Journal of Food Composition and Analysis",4,,216,226,"2014-05-13 11:52:43","2014-05-13 11:52:43"
96,D5021,"Albert Kingman","Kingman, A.  Unpublished data. NIDR/NIH, 1984",NULL,"9.	Kingman, A.  Unpublished data. NIDR/NIH, 1984.",,,,,"2014-05-13 11:52:44","2014-05-13 11:52:44"
97,D5162,"Jan Stannard, J Rovero, Anthi Tsamtsouris, V Gavris","Fluoride Content of Some Bottled Waters and Recommendations for Fluoride Supplementation",1990,"Journal of Pedodontics",14,2,103,107,"2014-05-13 11:52:44","2014-05-13 11:52:44"
98,D5261,"Prakash Bhosale, Igor V. Ermakkov, Maia R. Ermakova, Werner Gellermann, Paul S. Bernstein","Resonance Raman notification of nutritionally important carotenoids in fruit, vegetables, and their juices in comparison to high-pressure liquid chromatography analysis.",2004,"Journal of Agricultural and Food Chemistry",52,11,3281,3285,"2014-05-13 11:52:44","2014-05-13 11:52:44"
99,D5201,"Steven Levy","Fluoride data on infant foods and beverages",2003,"unpublished Fluoride data from Dr. Steven Levy, University of Iowa",,,,,"2014-05-13 11:52:44","2014-05-13 11:52:44"
100,D4541,"Nutrient Data Lab, USDA-ARS","Bottled Water Sampling Study Final Report",NULL,,,,,,"2014-05-13 11:52:44","2014-05-13 11:52:44"
101,D3284,"R. Becker","Identification of some sugars and mannitol in celery",1968,"Journal of Food Science",33,,128,130,"2014-05-13 11:52:44","2014-05-13 11:52:44"
102,D4841,"J.A. Dudek","Investigation of total dietary fiber methodology in the characterization of the carbohydrate fraction of canned pears",1985,"Journal of Food Science",50,,851,852,"2014-05-13 11:52:44","2014-05-13 11:52:44"
103,D6421,"M. Ozcan, C. Atalay","Determination of seed and oil properties of some poppy (Papaver somniferum L.) varieties",2006,"Grasas Y Aceites",57,2,169,174,"2014-05-13 11:52:44","2014-05-13 11:52:44"
104,D3321,"C. Y. Lee","Free sugars in fruits and vegetables",1970,"Food Science and Technology",,1,,,"2014-05-13 11:52:44","2014-05-13 11:52:44"
105,D3336,"M.L. Richmond","Analysis of simple sugars and sorbitol in fruit by high-performance liquid chromatography",1981,"J. Agric. Food Chem.",29,,4,7,"2014-05-13 11:52:44","2014-05-13 11:52:44"
